folder_name,split,tp,fp,tn,fn,p_unsure_num,n_unsure_num,mean_time,unsure_num,acc,sensitivity,specificity,precision,recall,f1,b_acc,un_sure_rate
ex_clinical_8,all,273,33,43,22,102,72,47.65194160303938,174,0.8517520215633423,0.9254237288135593,0.5657894736842105,0.8921568627450981,0.9254237288135593,0.908485856905158,0.7456066012488849,0.3192660550458716
ex_clinical_8,train,185,19,34,13,65,43,47.65194160303938,108,0.8725099601593626,0.9343434343434344,0.6415094339622641,0.9068627450980392,0.9343434343434344,0.9203980099502487,0.7879264341528492,0.3008356545961003
ex_clinical_8,test,88,14,9,9,37,29,47.65194160303938,66,0.8083333333333333,0.9072164948453608,0.391304347826087,0.8627450980392157,0.9072164948453608,0.8844221105527639,0.6492604213357239,0.3548387096774194
ex_clinical_2,all,315,29,25,6,76,94,37.55872993469238,170,0.9066666666666666,0.9813084112149533,0.46296296296296297,0.9156976744186046,0.9813084112149533,0.9473684210526316,0.7221356870889581,0.3119266055045872
ex_clinical_2,train,215,17,16,2,46,63,37.55872993469238,109,0.924,0.9907834101382489,0.48484848484848486,0.9267241379310345,0.9907834101382489,0.9576837416481069,0.7378159474933669,0.30362116991643456
ex_clinical_2,test,100,12,9,4,30,31,37.55872993469238,61,0.872,0.9615384615384616,0.42857142857142855,0.8928571428571429,0.9615384615384616,0.9259259259259259,0.695054945054945,0.3279569892473118
ex_clinical_7,all,33,3,7,6,358,138,50.6374320047711,496,0.8163265306122449,0.8461538461538461,0.7,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.773076923076923,0.9100917431192661
ex_clinical_7,train,27,3,4,5,231,89,50.6374320047711,320,0.7948717948717948,0.84375,0.5714285714285714,0.9,0.84375,0.870967741935484,0.7075892857142857,0.8913649025069638
ex_clinical_7,test,6,0,3,1,127,49,50.6374320047711,176,0.9,0.8571428571428571,1.0,1.0,0.8571428571428571,0.923076923076923,0.9285714285714286,0.946236559139785
ex_tool_2,all,351,22,118,38,8,8,47.933735063972826,16,0.8865784499054821,0.9023136246786633,0.8428571428571429,0.9410187667560321,0.9023136246786633,0.921259842519685,0.8725853837679031,0.029357798165137616
ex_tool_2,train,239,12,78,20,4,6,47.933735063972826,10,0.9083094555873925,0.9227799227799228,0.8666666666666667,0.952191235059761,0.9227799227799228,0.9372549019607843,0.8947232947232948,0.027855153203342618
ex_tool_2,test,112,10,40,18,4,2,47.933735063972826,6,0.8444444444444444,0.8615384615384616,0.8,0.9180327868852459,0.8615384615384616,0.8888888888888888,0.8307692307692308,0.03225806451612903
ex_base_4,all,347,31,115,50,0,2,21.79881432297033,2,0.850828729281768,0.8740554156171285,0.7876712328767124,0.917989417989418,0.8740554156171285,0.895483870967742,0.8308633242469204,0.003669724770642202
ex_base_4,train,233,20,76,30,0,0,21.79881432297033,0,0.8607242339832869,0.8859315589353612,0.7916666666666666,0.9209486166007905,0.8859315589353612,0.9031007751937984,0.8387991128010139,0.0
ex_base_4,test,114,11,39,20,0,2,21.79881432297033,2,0.8315217391304348,0.8507462686567164,0.78,0.912,0.8507462686567164,0.8803088803088803,0.8153731343283582,0.010752688172043012
