folder_name,split,tp,fp,tn,fn,p_unsure_num,n_unsure_num,mean_time,unsure_num,acc,sensitivity,specificity,precision,recall,f1,b_acc,un_sure_rate
ex_tool_2,all,351,22,118,38,8,8,47.933735063972826,16,0.8865784499054821,0.9023136246786633,0.8428571428571429,0.9410187667560321,0.9023136246786633,0.921259842519685,0.8725853837679031,0.029357798165137616
ex_tool_2,train,239,12,78,20,4,6,47.933735063972826,10,0.9083094555873925,0.9227799227799228,0.8666666666666667,0.952191235059761,0.9227799227799228,0.9372549019607843,0.8947232947232948,0.027855153203342618
ex_tool_2,test,112,10,40,18,4,2,47.933735063972826,6,0.8444444444444444,0.8615384615384616,0.8,0.9180327868852459,0.8615384615384616,0.8888888888888888,0.8307692307692308,0.03225806451612903
ex_base_4,all,347,31,115,50,0,2,21.79881432297033,2,0.850828729281768,0.8740554156171285,0.7876712328767124,0.917989417989418,0.8740554156171285,0.895483870967742,0.8308633242469204,0.003669724770642202
ex_base_4,train,233,20,76,30,0,0,21.79881432297033,0,0.8607242339832869,0.8859315589353612,0.7916666666666666,0.9209486166007905,0.8859315589353612,0.9031007751937984,0.8387991128010139,0.0
ex_base_4,test,114,11,39,20,0,2,21.79881432297033,2,0.8315217391304348,0.8507462686567164,0.78,0.912,0.8507462686567164,0.8803088803088803,0.8153731343283582,0.010752688172043012
ex_base_3,all,275,20,125,118,4,3,13.408771437898688,7,0.7434944237918215,0.6997455470737913,0.8620689655172413,0.9322033898305084,0.6997455470737913,0.7994186046511627,0.7809072562955164,0.012844036697247707
ex_base_3,train,182,16,77,78,3,3,13.408771437898688,6,0.7337110481586402,0.7,0.8279569892473119,0.9191919191919192,0.7,0.7947598253275109,0.7639784946236559,0.016713091922005572
ex_base_3,test,93,4,48,40,1,0,13.408771437898688,1,0.7621621621621621,0.6992481203007519,0.9230769230769231,0.9587628865979382,0.6992481203007519,0.8086956521739129,0.8111625216888375,0.005376344086021506
ex_base_1,all,326,29,114,43,28,5,10.319781546198994,33,0.859375,0.8834688346883469,0.7972027972027972,0.9183098591549296,0.8834688346883469,0.9005524861878453,0.840335815945572,0.060550458715596334
ex_base_1,train,217,20,72,23,23,4,10.319781546198994,27,0.8704819277108434,0.9041666666666667,0.782608695652174,0.9156118143459916,0.9041666666666667,0.909853249475891,0.8433876811594203,0.07520891364902507
ex_base_1,test,109,9,42,20,5,1,10.319781546198994,6,0.8388888888888889,0.8449612403100775,0.8235294117647058,0.923728813559322,0.8449612403100775,0.8825910931174089,0.8342453260373917,0.03225806451612903
ex_tool_1,all,334,24,116,52,11,8,53.59744770767492,19,0.8555133079847909,0.8652849740932642,0.8285714285714286,0.9329608938547486,0.8652849740932642,0.8978494623655914,0.8469282013323465,0.03486238532110092
ex_tool_1,train,227,15,75,28,8,6,53.59744770767492,14,0.8753623188405797,0.8901960784313725,0.8333333333333334,0.9380165289256198,0.8901960784313725,0.9134808853118711,0.861764705882353,0.03899721448467967
ex_tool_1,test,107,9,41,24,3,2,53.59744770767492,5,0.8176795580110497,0.816793893129771,0.82,0.9224137931034483,0.816793893129771,0.8663967611336033,0.8183969465648855,0.026881720430107527
ex_base_5,all,360,34,105,26,11,9,55.754969797659356,20,0.8857142857142857,0.9326424870466321,0.7553956834532374,0.9137055837563451,0.9326424870466321,0.9230769230769231,0.8440190852499347,0.03669724770642202
ex_base_5,train,239,21,71,18,6,4,55.754969797659356,10,0.8882521489971347,0.9299610894941635,0.7717391304347826,0.9192307692307692,0.9299610894941635,0.9245647969052223,0.850850109964473,0.027855153203342618
ex_base_5,test,121,13,34,8,5,5,55.754969797659356,10,0.8806818181818182,0.937984496124031,0.723404255319149,0.9029850746268657,0.937984496124031,0.9201520912547528,0.83069437572159,0.053763440860215055
ex_base_6,all,281,16,130,113,3,2,21.699649354514726,5,0.7611111111111111,0.7131979695431472,0.8904109589041096,0.9461279461279462,0.7131979695431472,0.813314037626628,0.8018044642236284,0.009174311926605505
ex_base_6,train,183,11,83,77,3,2,21.699649354514726,5,0.751412429378531,0.7038461538461539,0.8829787234042553,0.9432989690721649,0.7038461538461539,0.8061674008810574,0.7934124386252046,0.013927576601671309
ex_base_6,test,98,5,47,36,0,0,21.699649354514726,0,0.7795698924731183,0.7313432835820896,0.9038461538461539,0.9514563106796117,0.7313432835820896,0.8270042194092827,0.8175947187141217,0.0
ex_base_2,all,353,33,101,31,13,14,33.57004685883128,27,0.8764478764478765,0.9192708333333334,0.753731343283582,0.9145077720207254,0.9192708333333334,0.9168831168831169,0.8365010883084577,0.04954128440366973
ex_base_2,train,235,22,63,21,7,11,33.57004685883128,18,0.873900293255132,0.91796875,0.7411764705882353,0.914396887159533,0.91796875,0.9161793372319688,0.8295726102941177,0.05013927576601671
ex_base_2,test,118,11,38,10,6,3,33.57004685883128,9,0.8813559322033898,0.921875,0.7755102040816326,0.9147286821705426,0.921875,0.9182879377431907,0.8486926020408163,0.04838709677419355
